metaext	7344d24f	Strongholds:Arena	193	112	596	1205	6	1199	0	83	33230	594574	1699
forme_gen	1	1205
manches	6	0	[]
manches	8	0	[]
total_score	ecart	200/126	193/112
frags	10	17
frags	12	8
frags	14	9
frags	16	27
frags	18	9
frags	20	16
frags	22	14
frags	24	10380274584
total_frags	ecart	10380274684	117	8
segment	0	6	0	194	53690	594574	200
segment	0	8	0	112	112190	558142	126
segment	2	6	0	58	63044	589041	58
segment	2	8	0	60	52207	589041	59
segment	2	10	0	18	107956	589041	17
segment	2	12	0	9	140790	569925	8
segment	2	14	0	9	155120	589041	9
segment	2	16	0	27	77440	585688	27
segment	2	18	0	4	52207	107956	3
segment	2	18	1	4	109120	254160	5
segment	2	18	2	4	297696	569925	9
segment	2	20	0	17	63044	585688	16
segment	2	22	0	14	82380	585222	14
segment	2	24	0	17	52207	585222	17
serie	6	53690	1
serie	6	54690	2
serie	6	55692	3
serie	6	56693	4
serie	6	57693	5
serie	6	58694	6
serie	6	59695	7
serie	6	60703	8
serie	6	61704	9
serie	6	62706	10
serie	6	63708	11
serie	6	64707	12
serie	6	65708	13
serie	6	66709	14
serie	6	67710	15
serie	6	68711	16
serie	6	85896	17
serie	6	86897	18
serie	6	102914	19
serie	6	103914	20
serie	6	131010	21
serie	6	132011	22
serie	6	133013	23
serie	6	134013	24
serie	6	135014	25
serie	6	136016	26
serie	6	143890	27
serie	6	144891	28
serie	6	145892	29
serie	6	149695	30
serie	6	150696	31
serie	6	156136	32
serie	6	157136	33
serie	6	158138	34
serie	6	159139	35
serie	6	160134	36
serie	6	161134	37
serie	6	162135	38
serie	6	163137	39
serie	6	164138	40
serie	6	165143	41
serie	6	166140	42
serie	6	167142	43
serie	6	168142	44
serie	6	169143	45
serie	6	170144	46
serie	6	171145	47
serie	6	172146	48
serie	6	173147	49
serie	6	174147	50
serie	6	175148	51
serie	6	176149	52
serie	6	177150	53
serie	6	185682	54
serie	6	199079	55
serie	6	200074	56
serie	6	201075	57
serie	6	202076	58
serie	6	203076	59
serie	6	204077	60
serie	6	205079	61
serie	6	206081	62
serie	6	207081	63
serie	6	208081	64
serie	6	209082	65
serie	6	210083	66
serie	6	211085	67
serie	6	212086	68
serie	6	213087	69
serie	6	214088	70
serie	6	215089	71
serie	6	216090	72
